Error category;Error type;Severity;Source Text;Target Text;Suggested Target Text
Fluency;Inconsistency;Minor;And what I'm trying to say to you is I had to stop the account for them to do a forensics so I know exactly where the money is gone;А что я пытаюсь вам сказать, это то, что мне пришлось закрыть счет, чтобы они провели судебную экспертизу, чтобы я точно знал, куда ушли деньги;Я пытаюсь вам сказать о том, что мне пришлось закрыть счет, чтобы они провели судебную экспертизу, чтобы я точно знал, куда ушли деньги
;;;Hey guys how are you and your wife;Привет ребята, как ты и твоя жена;
Fluency;Inconsistency;Minor;I want 10 more minutes with you and then you can send money and whatever you think;Я хочу еще 10 минут с тобой, и потом можешь слать деньги и все что хочешь;Я хочу провести еще 10 минут с тобой, и потом можешь слать деньги и все что хочешь
;;;What you like to come in and talk;О чем ты хочешь зайти поговорить;
;;;Okay send it to me this is the postcode please I come and see now;Хорошо, пришлите мне его. Почтовый индекс, пожалуйста. Я сейчас приду и посмотрю;
Accuracy;Untranslated text;Minor;I just met him for three months;;Я встречалась с ним всего три месяца
Fluency;Grammatical register;Minor;It is your old chair;;Это Ваше старое кресло
Fluency;Grammatical register;Minor;That's the taste that you are left with;Это - вкус, с которым ты остаешься;Это - вкус, который у Вас остается
Accuracy;Untranslated text;Minor;I would like to go skiing today Thursday;;Я хочу покататься на лыжах. Сегодня четверг.
Accuracy;Untranslated text;Minor;Marriage is very fun because you are with family and friends;;Свадьба это очень весело, потому что вы находитесь рядом с семьей и друзьями
Accuracy;Untranslated text;Minor;The one about updating Gordon 's address;;Тот, что касается обновления адреса Гордона
Accuracy;Untranslated text;Minor;Most but not all organelles have a membrane;;Большинство органелл, но не все, имеют мембрану
Accuracy;Untranslated text;Minor;He told me he will give me 90 days with the hundred R&B;;Он сказал мне, что даст мне 90 дней с сотней песен R&B.
Accuracy;Under-translation;Minor;To get new business we have to do something new;;Чтобы создать новый бизнес, мы должны сделать что-нибудь новое
Accuracy;Omission;Minor;Three meals I can eat every day;Трехразовое питание;Каждый день я питаюсь три раза в день
;;;Told me you have been in a party yesterday;Сказала мне, что вчера ты была на вечеринке;
Fluency;Spelling;Minor;What do you call a duck;Что вы называете уткой?;Что Вы называете уткой?
Accuracy;Under-translation;Minor;Don't put feathers as you buy them you need to do something different with your feather to stand out;Не используй перья в том виде, в котором ты их купила, тебе нужно сделать с твоим пером что-то другое, чтобы выделиться.;Не надевай перья в том виде, в котором ты их купила, тебе нужно сделать с ними что-то другое, чтобы выделиться.
Accuracy;Untranslated text;Minor;Can you say one nice thing about me;;Мог бы ты сказать обо мне хорошее?
Accuracy;Untranslated text;Minor;I've got all the lights delivered now if it's possible today I can come and do the work;;Мне доставили все светильники. Если возможно, я мог бы прийти сегодня и сделать всю работу.
;;;But what is the sauce made from;But what is the sauce made from;
Accuracy;Untranslated text;Minor;May I hear you;;Могу ли я Вас услышать
;;;I am proud of you son;Я горжусь тобой, сын;
;;;I don't want to waste money so if you don't really want to fuck me it's cool I will go away;Я не хочу тратить деньги впустую, поэтому если тебе не хочется меня трахать, это нормально, я уйду;
;;;This part inside the hinge is very thin and will rest very easily;Эта часть внутри петли очень тонкая и очень легко упирается;
Accuracy;Untranslated text;Minor;Dan and having fun;;Дэн и развлечения
Accuracy;Untranslated text;Minor;You asked if I was tired of you;;Вы спросили, устал ли я от Вас
;;;She can be very difficult to buy for;Ее может быть очень трудно подкупить;
Fluency;Inconsistency;Minor;We looked to book now for next year and it was 10,200 pounds;Мы посмотрели бронировать сейчас на следующий год, это стоило 10 200 фунтов стерлингов;Мы сейчас посмотрели брони на следующий год, это стоит 10 200 фунтов стерлингов
;;;Time also makes sense it was very unusual you don't rob a house at 5:30;Время также имеет смысл, было очень необычно - ты не грабишь дом в 5:30;
Accuracy;Under-translation;;Hello who who are you I am talking really well can you shut up for a moment thank you because you are crazy shit;Привет! Ты кто? Я говорю очень хорошо. Можешь хоть на минуту заткнуться? Спасибо! Да ты ударенный;Привет! Ты кто? Я говорю очень хорошо. Можешь хоть на минуту заткнуться? Спасибо! Да ты умалишенный
;;;Hello can I get 10 hotdogs and three burgers;Здравствуйте, можно мне 10 хот-догов и 3 бургера?;
Accuracy;Under-translation;Minor;That's the taste that you are left with;Это - вкус, с которым ы остаешься;Это - вкус, который останется у тебя
;;;The hotel contents are being sold off and carted away;Гостиничное имущество сейчас на распродаже и вывозится;
Accuracy;Untranslated text;Minor;Had you read about the place before;;Читали ли Вы об этом месте раньше?
;;;I add milk cream;Я добавляю молоко, сливки;
;;;This is James's house in London;Это дом Джеймса в Лондоне;
;;;Five minutes left;Осталось пять минут;
;;;Today's weather;;Погода на сегодня
Accuracy;Untranslated text;Minor;England is famous for pubs because you could only drink alcohol with a license in a pub;;Англия известна своими пабами, так как распитие алкогольных напитков возможно только в пабах, получивших на это лицензию.
Accuracy;Untranslated text;Minor;I need to study more English more;;Мне нужно усерднее учить английский язык, еще больше
Accuracy;Untranslated text;Minor;Your wife told us to stay outside for just an hour;;Ваша жена сказала нам остаться снаружи всего на час
Accuracy;Untranslated text;Minor;Big brother are you sleeping;;Большой брат, ты спишь?
Accuracy;Mistranslation;Minor;But the water water in the ceiling leaking it's not a fix;Но вода, вода протекает в потолке, это не починка;Но вода, вода течет по потолку, это не починить
;;;Auntie we will go by the river it might be really cold or is it already understood;Тетушка, мы будем добираться по реке, может быть очень холодно - или это уже понятно;
Accuracy;Untranslated text;Minor;You come tomorrow;;Вы придете завтра
Accuracy;Under-translation;Minor;If my pet is not spayed or neutered Northern Animal Rescue will offer complimentary spaying or neutering for my pets if my pet is in their care during one of the mobile vet clinics held at Jonas Roberts Memorial Centre two times a year;Если мой любимец не стерилизован, Northern Animal Rescue предложит бесплатную стерилизацию для моих любимцев, если мой любимец попадет в их опеку в одну из передвижных ветеринарных клиник, которые проводятся в Мемориальном центре Джонаса Робертса два раза в год.;Если мой питомец не стерилизован, Northern Animal Rescue предложит бесплатную стерилизацию для моих питомец, если мой питомец попадет в их опеку в одну из передвижных ветеринарных клиник, которые проводятся в Мемориальном центре Джонаса Робертса два раза в год.
Accuracy;Untranslated text;Minor;Hi but I can't understand you;;Привет! Увы, я тебя не понимаю
;;;Are they knew;Они знали?;
Accuracy;Untranslated text;Minor;I will go downstairs and we can colour some books;;Я спущусь и мы поразукрашиваем
;;;It will be worth of;Это будет стоить;
Accuracy;Untranslated text;Minor;My ex boyfriend was half Greek;;Мой бывший бойфренд был наполовину греком
;;;Really mean what I just said;Я действительно имею ввиду то, что я только что сказал;
;;;What is sacred;Что священно;
Accuracy;Untranslated text;Minor;I speak with my mother;;Я разговариваю с моей мамой
Accuracy;Untranslated text;Minor;You are gone for many days;;Тебя уже давно не было
;;;Double glazed window;Окно с двойным остеклением;
Fluency;Inconsistency;Minor;I have parked my car in the parking lot;Я запарковал машину на парковке;Я припарковал машину на парковке
;;;Your favourite colour;Твой любимый цвет;
Accuracy;Mistranslation;Minor;15 pounds is enough for two days maximum then keep adding on after;15 фунтов хватит максимум на два дня, затем продолжайте добавлять;15 фунтов хватит максимум на два дня, затем необходимо взять еще
;;;How do I get to the nearest police station I am lost;Как мне добраться до ближайшего полицейского участка? Я заблудился;
;;;What kind of relationship would you like;Каких отношений ты бы хотела?;
Accuracy;Untranslated text;;Direct me to pharmacy;;Как мне пройти в аптеку
;;;What is one+ one;Сколько будет один + один;
Accuracy;Untranslated text;Minor;We ordered a glass oven;;Мы заказали стеклянную печь
;;;Who is the person next to you in this one;Кто этот человек рядом с тобой на этом;
Accuracy;Untranslated text;Minor;I like to cook and spend time with family;;Мне нравится заниматься готовкой и проводить время со своей семьей
Accuracy;Untranslated text;Minor;I don't think that's a good idea we need one strong person to lead the team;;Я не думаю, что это хорошая идея, нам нужен лидер, чтобы возглавить команду
;;;If I got you I will kick in your ass;Если я доберусь до тебя, я надеру тебе задницу;
Accuracy;Untranslated text;Minor;You do not want to see a naked body you do not want to touch a naked body;;Ты не хочешь видеть голое тело, ты не хочешь касаться голого тела
;;;I met this guy in London;Я встретила этого парня в Лондоне;
;;;How do I get to the nearest police station I am lost;Как мне добраться до ближайшего полицейского участка? Я заблудился;
Fluency;Grammatical register;Minor;I put up with my wife;Я терплю своюжену;
Accuracy;Untranslated text;Minor;How are you today I'm bored;;Как твои дела? А мне скучно
Accuracy;Mistranslation;Minor;I have not looked at every fire individual yet but I'm going to do this on Thursday okay so that's why I am in the evening okay and once we have some photos of the Thursday and I have a review of everything I will reach you guys individually to explain how we can terminate in them that we should just send an email like these are like that okay so we have to going to talk about it later;Я еще не посмотрел на каждого пострадавшего от пожара, но я собираюсь это сделать в четверг, окей, поэтому вечером, окей, и как только у нас есть несколько фотографий четверга, и у меня имеется обзор всего, я свяжусь с вами, ребята, индивидуально, чтобы объяснить, как мы можем завершить в них, что мы должны просто отправить электронное письмо, как это окей, поэтому мы должны, будем, говорить об этом позже;Я еще не познакомился с каждым пожарником, но я собираюсь это сделать в четверг, окей, поэтому вечером, окей, и так как у нас есть несколько фотографий с четверга, и у меня имеется обзор всего, я свяжусь с вами, ребята, лично, чтобы объяснить, как мы можем завершить дела, что мы должны просто отправить электронное письмо, как это окей, поэтому мы должны, будем, говорить об этом позже
Accuracy;Untranslated text;Minor;Okay when your time is up I'll carry on until I'm really tired;;Хорошо, я продолжу, пока не устану, когда твое время кончится.
Accuracy;Untranslated text;Minor;Apples but sweets are better;;Яблоки, но сладости вкуснее
Accuracy;Untranslated text;Minor;I am too fat I can't eat for a week;;Я слишком толстый, я не могу есть неделю
Accuracy;Untranslated text;Minor;There are eight people in my family;;Моя семья состоит из восьми человек
;;;But you are growing so you will learn them eventually;Но ты растешь, поэтому ты их выучишь, рано или поздно;
Accuracy;Untranslated text;Minor;Couldn't you help tidy up a bit more;;Помоги мне еще немного с уборкой
Accuracy;Untranslated text;Minor;How's been your day;;Как твои дела сегодня?
Accuracy;Untranslated text;Minor;Would you like a cup of coffee;;Хотите выпить кофе?
Fluency;Grammar;Minor;Good morning I'm just waking up;Доброе утро, я только просыпаюсь;Доброе утро, я только что проснулась
Accuracy;Untranslated text;Minor;Thank you do you think;;Спасибо, ты думаешь
Accuracy;Untranslated text;Minor;I do not understand you are going to call me at two;;Я не понял, позвонишь ли ты мне в два
Accuracy;Untranslated text;Minor;Wait for her response;;Жди ее ответа
Accuracy;Untranslated text;Minor;I don't understand you are a mess;;Я не понимаю, что с тобой творится.
Accuracy;Addition;Minor;Oh my that's what happens when you meet somebody on the flight when travelling and giggling that's what normally happens and then my friend probably the chemistry's nice and you never know what will happen tomorrow you'll be probably after some years you'll be together and you will be having maybe another child for me;О Боже, вот что бывает, когда ты встречаешь кого-то в самолете и вы проводите время вместе. Это то, что обычно происходит, и тогда, мой друг, наверное, происходит химия, и ты никогда не знаешь, что произойдет завтра. Возможно, вы будете вместе через несколько лет, а может быть, ты ты родишь еще одного ребенка для меня;О Боже, вот что бывает, когда ты встречаешь кого-то в самолете и вы проводите время вместе. Это то, что обычно происходит, и тогда, мой друг, наверное, происходит химия, и ты никогда не знаешь, что произойдет завтра. Возможно, вы будете вместе через несколько лет, а может быть, ты родишь еще одного ребенка для меня
;;;Yeah everything's changing I don't know;Да, все меняется, я не знаю;
;;;It was so excited Maria talked so fluently but I did not understand some words I don't know;Это было так волнительно, Мария говорила так бегло, но я не понимал некоторых слов, которых не знаю;
Fluency;Inconsistency;Minor;It was so excited Maria talked so fluently but I did not understand some words I don't know;Это было так взволнованно, Мария говорила так бегло, но я не понимал некоторых слов, которых не знаю;Это было так волнительно, Мария говорила так бегло, но я не понимал некоторых слов, которых не знаю
Fluency;Inconsistency;Minor;So I took off the notice from our house because I want don't want the seller our potential buyers to know that there is some theft in this house and make it difficult to sell;Ну и, я снял извещение с нашего дома, потому что я хочу - я не хочу, чтобы продавец, наши потенциальные покупатели знали, что в этом доме какая-то кража, это затруднит его продажу.;Ну и, я снял извещение с нашего дома, потому что я хочу - я не хочу, чтобы продавец, наши потенциальные покупатели знали, что в этом доме произошла какая-то кража, это затруднит его продажу.
Accuracy;Untranslated text;Minor;I was attacked in Greece for my money;;Меня ограбили в Греции
;;;Just do not ignore;Просто не игнорируй;
;;;You thought I will not find out;Ты думал, я не узнаю;
Accuracy;Untranslated text;Minor;Joes flight lands in half an hour at his destination;;Самолет Джо приземляется через полчаса в пункте назначения
Accuracy;Untranslated text;Minor;It's normal bit is actually really creepy and it has a skeleton in it;;Это нормально, но в то же время жутковато. А внутри есть скелет
Fluency;Inconsistency;Minor;Using online devices could also impact the child's health because they could get glasses;Использование онлайн-устройств также может повлиять на здоровье ребенка, потому что им могут прописать очки;Использование интерактивных устройств также может повлиять на здоровье ребенка, потому что им могут прописать очки
Accuracy;Mistranslation;Minor;Don't eat anything from midnight and only have sips of water after 6 AM;Ничего не ешь после полуночи и только маленькие глоточки воды после 6 утра;Ничего не ешь после полуночи и можно только сделать пару глотков воды после 6 утра
;;;Or who he was married to;Или на ком он был женат;
Accuracy;Untranslated text;Minor;But I think what you're saying is after we eat we want to go and see your aunt;;Но я думаю, ты хочешь сказать, что после того, как мы поедим, мы зайдет в гости к твоей тете
Accuracy;Untranslated text;Minor;I'm go to school;;Я направляюсь в школу
Fluency;Inconsistency;Minor;;А пока культивируй свой характер и очищайся;А пока работай над своим характером и очищайся
;;;I can't drink all that;Я не могу все это выпить;
Accuracy;Untranslated text;Minor;Do you know where you are;Ты знаешь, где ты находишься?;
Accuracy;Untranslated text;Minor;This is on last night together;;Это прошлым вечером вместе
Accuracy;Untranslated text;Minor;Are you happy where are you stay now;;Счастлив ли ты там, где ты сейчас находишься
;;;Especially when you were asleep;Особенно когда ты спала;
Accuracy;Untranslated text;Minor;Do you have a bank account;;У тебя есть счет в банке
;;;We can take her for a walk around the park;Мы можем взять ее на прогулку по парку;
Accuracy;Untranslated text;Minor;In the Philippines we hear and no more Cantonese than Mandarin;;На Филиппинах говорят на кантонском диалекте китайского не больше, чем на северном диалекте
;;;About 830;Около 830;
Accuracy;Untranslated text;Minor;Do you have a sugar free bread;;У Вас есть безуглеводный хлеб?
Accuracy;Untranslated text;Minor;Just last weekend;;Только прошлые выходные
Accuracy;Mistranslation;Minor;You know a funny sounds when you say you're gonna fetch me a blow dryer it sounds like you're bringing someone to give me a blowjob;Ты знаешь, смешные звуки, когда ты говоришь, что принесешь мне фен - звучит так, будто ты приводишь кого-то, чтобы сделать мне минет;Ты знаешь, звучит смешно, когда ты говоришь, что принесешь мне фен - звучит так, будто ты приводишь кого-то, чтобы сделать мне минет
;;;Allyis I want to put my penis inside you and break your ass in two;Эллиз, я хочу вставить мой пенис в тебя и разорвать твой зад надвое;
;;;That's strange because when I say it the same way she does it says a different word;Это странно, потому что когда я говорю так же, как она, она говорит другое слово;
Fluency;Spelling;;Do you have a Christmas tree is real or artificial which do you think is best for the environment why;У вас настоящая или искусственная елка - какая н твой взгляд лучше для окружающей среды и почему;У вас настоящая или искусственная елка - какая на твой взгляд лучше для окружающей среды и почему
Accuracy;Mistranslation;;Thank you we are coming;Спасибо, что пришли;Спасибо, мы идем
Accuracy;Mistranslation;Minor;The man should walk away from any customer who is angry or upset;;Человек должен уходить от любого клиента, который злится или расстраивается.
;;;A good friend to me is;Для меня, хороший друг - это;
;;;Time also makes sense it was very unusual you don't rob a house at 5:30;Время также имеет смысл, было очень необычно - ты не грабишь дом в 5:30;
Accuracy;Untranslated text;Minor;It's been months;;Прошло несколько месяцев
;;;This is a fashion show piece;Это часть показа мод;
;;;My house has a basement a ground floor and a top floor;В моем доме есть подвал, первый этаж и второй этаж;
Accuracy;Untranslated text;Minor;It is good food;;Это вкусная еда
Accuracy;Untranslated text;Minor;Baby do you want to kiss me;;Малыш, ты меня поцелуешь?
;;;I want this floor to be clean;Я хочу, чтобы этот пол был чистым;
Accuracy;Mistranslation;Minor;A foreign language is a weapon in the struggle of life;Иностранный язык - это оружие в жизненной борьбе;Иностранный язык-это оружие в борьбе за жизнь
Accuracy;Mistranslation;Minor;Fuck your weekend it's only 10;Трахать твой уик-энд, сейчас всего 10;К черту выходные, сейчас всего 10
